dataset,site_id,label,task_mean,task_std,heap_delta,heap_mean,heap_std,total_requests,script_requests,wasm_requests,unique_hosts
benign,site_125,benign,0.0840737,0.046261513,15584,6694975.2,4366.079358,23,4,0,11
benign,site_129,benign,0.5678498,0.280391839,28433692,35137121.6,10482377.69,106,62,0,13
benign,site_130,benign,0.0125667,0.006681356,43088,14402141.6,13003.71125,71,2,0,7
benign,site_131,benign,0.053992,0.031159606,137692,9061008.8,45374.06317,38,11,0,12
benign,site_132,benign,0.0022492,0.001360574,864,504016,275.739007,4,0,0,2
benign,site_133,benign,0.0025454,0.001640959,864,7059032,275.739007,22,5,0,8
benign,site_134,benign,0.1418275,0.083245197,1924004,25445772,625241.9598,147,27,0,47
benign,site_135,benign,0.002201,0.001407778,864,504032,275.739007,3,0,0,1
benign,site_137,benign,0.1864111,0.113880876,245052,7986044.8,78081.3908,44,22,0,5
benign,site_139,benign,0.229613,0.142080733,8257760,27534056.4,3178771.716,60,16,0,17
benign,site_14,benign,0.087073,0.030242353,3143380,35481073.6,897492.8126,81,55,0,6
benign,site_141,benign,0.0051659,0.001946669,864,9207836,275.739007,37,8,0,9
benign,site_143,benign,0.0024668,0.001291403,864,483024,275.739007,7,0,0,1
benign,site_145,benign,0.0026742,0.001826979,864,504088,275.739007,3,0,0,1
benign,site_147,benign,0.105732,0.063680098,32584,7383223.6,9466.669522,46,15,0,8
benign,site_149,benign,0.2894504,0.174616373,-13206448,19029917.2,5353282.042,61,35,0,6
benign,site_15,benign,0.1116542,0.068038222,137708,10421294.4,44721.72008,35,8,0,12
benign,site_150,benign,0.1985537,0.128114559,-11866892,47779144.8,6907518.291,173,74,0,59
benign,site_152,benign,0.1094441,0.068313059,-2752404,9319293.2,825836.4335,33,3,0,9
benign,site_156,benign,0.058026,0.033145312,1834156,69688698.8,591089.6668,122,38,0,22
benign,site_157,benign,0.0024977,0.001588129,864,504016,275.739007,3,0,0,1
benign,site_16,benign,0.0120662,0.007122435,864,11607856,275.739007,29,0,0,7
benign,site_160,benign,0.0026618,0.001683357,864,504016,275.739007,3,0,0,1
benign,site_162,benign,0.0286507,0.017523879,-4779312,19892902,1823015.447,77,35,0,7
benign,site_165,benign,0.120271,0.091271852,210724,19294002.8,76624.21848,155,109,0,8
benign,site_166,benign,0.0336102,0.021033015,963164,17643272.4,307634.0555,111,49,0,11
benign,site_167,benign,0.1325515,0.079848408,409536,9806456,128497.9516,100,10,0,13
benign,site_168,benign,0.4319012,0.157117457,3333332,8027464,1033434.142,40,12,0,6
benign,site_169,benign,0.1294693,0.075764446,-954996,24361051.6,1851035.024,63,21,0,12
benign,site_17,benign,0.0295142,0.017883916,136780,5175178.8,50380.25928,53,0,0,9
benign,site_170,benign,0.0020797,0.001390889,864,504020,275.739007,4,0,0,2
benign,site_171,benign,0.0022191,0.001384823,864,938844,275.739007,6,0,0,2
benign,site_173,benign,0.0021897,0.00131889,864,662344,275.739007,13,4,0,3
benign,site_174,benign,0.0022667,0.001298191,864,504020,275.739007,5,0,0,2
benign,site_176,benign,0.00557,0.003366939,12544,14324123.2,4345.443149,69,24,0,10
benign,site_177,benign,0.0972014,0.062094447,3461896,46698743.6,1505253.538,162,66,0,53
benign,site_178,benign,0.0471674,0.033887854,21378664,25720535.6,6930453.101,13,0,0,3
benign,site_179,benign,0.056112,0.037009798,22898432,25330378.4,7150527.082,11,0,0,2
benign,site_18,benign,0.7897472,0.380094179,-14543724,42249314.8,8446544.08,104,64,0,12
benign,site_180,benign,0.2495644,0.174417407,-1216748,46444054,1596519.535,135,31,0,39
benign,site_181,benign,0.0209799,0.014872437,190428,13753936.8,67549.52906,67,5,0,15
benign,site_183,benign,0.0045707,0.002913656,864,10373308,275.739007,84,43,0,8
benign,site_185,benign,0.0022061,0.001483343,864,504016,275.739007,3,0,0,1
benign,site_189,benign,0.4584676,0.293761659,-2260944,11249251.6,1490146.507,28,5,0,9
benign,site_19,benign,0.0252325,0.019240803,269308,5192698,123928.7664,40,27,0,3
benign,site_192,benign,0.0275518,0.016114915,1567776,19651743.6,606115.8509,75,35,0,7
benign,site_195,benign,0.1299278,0.100038832,207620,19243007.6,75325.69528,155,109,0,8
benign,site_196,benign,0.0360083,0.023740173,1018792,14717660,316308.4127,111,49,0,11
benign,site_197,benign,0.1353529,0.085849119,415004,9792253.6,130149.2771,100,10,0,13
benign,site_198,benign,0.4655264,0.174568954,2954228,7624837.6,937298.8802,39,11,0,6
benign,site_199,benign,0.1400958,0.087510639,-232596,24716111.2,1965613.138,63,21,0,12
benign,site_2,benign,0.123264,0.081240918,-8129072,18215833.6,3410617.179,98,42,0,24
benign,site_20,benign,0.0056404,0.003316779,864,504024,275.739007,3,0,0,1
benign,site_200,benign,0.0026899,0.001463339,864,504020,275.739007,4,0,0,2
benign,site_201,benign,0.0019813,0.001185603,864,938844,275.739007,6,0,0,2
benign,site_203,benign,0.0024579,0.001463916,864,662392,275.739007,13,4,0,3
